year,lat,long,month_start,month_end,year_start,year_end
2014,21.584251,39.207951,4,4,2014,2014
2016,24.686469,46.706176,10,5,2012,2014
2016,21.745418,39.174076,4,5,2014,2014
2015,24.68647,46.706141,4,8,2014,2014
2014,25.310005,49.618107,11,11,2013,2013
2014,25.310005,49.618107,12,12,2013,2013
2015,37.026714,126.985685,6,6,2015,2015
2016,21.423704,39.360835,3,6,2014,2014
2014,24.692264,46.71543,10,5,2012,2014
2014,25.45919,49.534878,12,8,2012,2013
2016,24.752048,46.85782,6,9,2015,2015
2016,25.390312,51.210981,4,4,2015,2015
2016,25.390312,51.210981,4,4,2015,2015
2013,19.768871,44.04005,6,4,2012,2013
2013,26.295803,42.825737,6,4,2012,2013
2013,25.103174,45.18931,6,4,2012,2013
2014,25.390312,51.210981,4,4,2014,2014
2013,25.189911,49.699615,4,7,2013,2013
2013,28.472152,44.968042,6,7,2012,2013
2016,24.781518,46.855266,5,7,2014,2015
2016,21.403103,39.860626,5,7,2014,2015
2016,26.092553,43.979899,5,7,2014,2015
2013,26.274824,49.738557,6,7,2012,2013
2013,21.76241,39.137505,6,7,2012,2013
2013,20.34782,45.025866,6,7,2012,2013
2013,21.562133,40.544473,6,7,2012,2013
2013,18.208316,43.63808,6,7,2012,2013
2014,21.496895,39.234423,10,10,2013,2013
2017,24.752048,46.85782,6,9,2015,2015
2017,24.752048,46.85782,6,9,2015,2015
2013,21.724926,39.384527,2,11,2013,2013
2015,21.516285,39.252254,9,9,2014,2014
2013,21.650634,40.480339,2,11,2013,2013
2013,24.139428,46.55374,2,11,2013,2013
2013,20.406237,44.677858,2,11,2013,2013
2016,21.384856,40.477234,8,2,2014,2015
2016,21.384856,40.477234,8,2,2014,2015
2013,25.520016,49.394223,4,6,2013,2013
2013,23.997023,47.054014,6,9,2013,2013
2015,25.264074,51.494817,3,6,2013,2014
2015,25.264074,51.494817,4,6,2013,2014
2015,25.264074,51.494817,3,7,2013,2014
2015,25.264074,51.494817,2,4,2013,2014
2015,25.264074,51.494817,3,4,2013,2014
2015,25.390312,51.210981,6,7,2013,2014
2015,25.390312,51.210981,3,7,2013,2014
2015,25.390312,51.210981,5,7,2013,2014
2015,25.390312,51.210981,5,8,2013,2014
2014,24.071315,46.106787,7,5,2013,2015
